"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.91305916576698,0.347,0.036,0,"17","Ccl12"
0,1.57459836747156,0.412,0.102,0,"17","Prex1"
0,1.85219361055702,0.489,0.179,0,"17","Fam241a"
0,1.30060999318509,0.944,0.634,0,"17","Clic1"
0,2.57292245549495,0.355,0.046,0,"17","Ciita"
0,2.79118981555208,0.353,0.045,0,"17","Bcl2a1d"
0,2.11398599875237,0.953,0.645,0,"17","Ctsb"
0,1.59968006646462,0.495,0.188,0,"17","Sap30"
0,2.90718677469612,0.345,0.038,0,"17","Lpxn"
0,2.0530716568806,0.431,0.125,0,"17","Mpp1"
0,1.38736463135263,0.458,0.153,0,"17","Crlf3"
0,1.78373628981298,0.429,0.125,0,"17","Rilpl2"
0,3.54182357932357,0.335,0.032,0,"17","Slfn9"
0,3.50361760986014,0.329,0.026,0,"17","Batf3"
0,3.8245069550565,0.322,0.019,0,"17","Csf2rb2"
0,3.57819336220866,0.432,0.13,0,"17","Fabp5"
0,2.3625533217903,0.369,0.069,0,"17","Mdfic"
0,2.34464696538537,0.36,0.061,0,"17","Pstpip1"
0,1.86750537838691,0.389,0.091,0,"17","Dapp1"
0,1.0279981713991,0.792,0.494,0,"17","Psma4"
0,1.40437627289401,0.496,0.198,0,"17","Ist1"
0,1.32384871974869,0.49,0.193,0,"17","Tiparp"
0,1.51212841078139,0.427,0.131,0,"17","Sptlc2"
0,2.28073248209698,0.356,0.061,0,"17","Sema4a"
0,1.89425948966036,0.452,0.158,0,"17","Gda"
0,1.47166704432283,0.393,0.1,0,"17","Cxcr4"
0,2.05813208184274,0.929,0.636,0,"17","Prdx5"
0,1.71274006751143,0.375,0.082,0,"17","Birc3"
0,2.28115633423755,0.397,0.105,0,"17","Rin2"
0,1.46166073355455,0.399,0.107,0,"17","Maf"
0,1.41645410501954,0.495,0.203,0,"17","Basp1"
0,1.33559615001588,0.519,0.228,0,"17","Rassf4"
0,1.73680898952373,0.404,0.113,0,"17","Lipa"
0,2.07803407097457,0.36,0.069,0,"17","Pik3cd"
0,2.03184012261843,0.365,0.075,0,"17","Sell"
0,2.93896824781959,0.329,0.04,0,"17","Adap1"
0,3.00930493513797,0.321,0.032,0,"17","Havcr2"
0,2.90956488142067,0.324,0.036,0,"17","Itgax"
0,1.55092099059803,0.412,0.124,0,"17","Ralb"
0,1.24323166123336,0.47,0.182,0,"17","Grina"
0,2.68268527164541,0.335,0.048,0,"17","Tmem86a"
0,3.09330720523099,0.322,0.035,0,"17","Irgm2"
0,1.95412829546496,0.37,0.084,0,"17","Nfkb2"
0,1.82335316844565,0.342,0.057,0,"17","Adgre1"
0,1.43015056237826,0.427,0.143,0,"17","Arid5a"
0,1.49934540262211,0.388,0.105,0,"17","Tm6sf1"
0,1.26764388657021,0.458,0.175,0,"17","Il10rb"
0,1.49493357244864,0.417,0.134,0,"17","Map7d1"
0,4.66452191361315,0.293,0.01,0,"17","BC147527"
0,2.82879638985756,0.323,0.041,0,"17","B4galt5"
0,1.39604853531112,0.397,0.117,0,"17","Trim12a"
0,1.71751832316177,0.408,0.128,0,"17","Tank"
0,1.81213366972589,0.357,0.077,0,"17","Plcg2"
0,1.95149400524211,0.376,0.097,0,"17","Ldlr"
0,2.32731083299643,0.337,0.058,0,"17","Sh3bp1"
0,3.35680422743234,0.305,0.026,0,"17","Ptpro"
0,2.69779428090027,0.321,0.043,0,"17","Ppfia4"
0,2.64329260931935,0.328,0.05,0,"17","Ddx60"
0,1.34009946679513,0.448,0.17,0,"17","Pfkp"
0,1.38652593202195,0.463,0.187,0,"17","Lpcat2"
0,1.56889797156809,0.406,0.13,0,"17","Ripk1"
0,2.29066474977763,0.326,0.05,0,"17","Emilin2"
0,2.41843003151618,0.361,0.086,0,"17","Tent5c"
0,0.763042310733264,0.865,0.59,0,"17","Akr1a1"
0,3.09370842118914,0.307,0.032,0,"17","Naip2"
0,2.40641928158594,0.317,0.043,0,"17","P2ry6"
0,1.8722681977017,0.378,0.104,0,"17","Tent2"
0,1.86615607838486,0.346,0.073,0,"17","Glipr1"
0,1.84854909345081,0.364,0.092,0,"17","Myo9b"
0,1.66731692675492,0.376,0.105,0,"17","Rap2b"
0,1.65952931790003,0.393,0.122,0,"17","Gng12"
0,0.78586239697399,0.381,0.11,0,"17","Trf"
0,1.57721432923523,0.394,0.123,0,"17","Nubp1"
0,1.5294839300923,0.403,0.133,0,"17","Ptprj"
0,1.39200921142896,0.386,0.116,0,"17","Myadm"
0,3.30329414731374,0.291,0.022,0,"17","Ifi214"
0,2.28732387307001,0.317,0.049,0,"17","Cfp"
