"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dtx3l",0.000593222592000273,-0.390828632254799,1,1,1
"9930111J21Rik1",0.000607301500762243,0.648566624976355,0.9,0.8,1
"BC147527",0.000615713293890497,0.62744582156317,0.9,0.7,1
"Metrn",0.000615764594029526,0.560129634552432,0.9,0.9,1
"Ifi27l2a",0.000631756746599581,0.923377888657241,1,0.9,1
"Wars",0.000655259939192269,0.6158085387028,0.9,0.9,1
"Slfn1",0.000658478680103383,0.874801357680866,1,0.9,1
"Clec2d",0.000660334306950754,0.554501406631057,1,0.9,1
"Mndal",0.00071138647372917,0.537813073394152,1,0.9,1
"Tomm70a",0.000724790263294334,0.583112533255949,1,0.9,1
"mt-Nd5",0.00074150616078227,0.423018660312404,1,1,1
"Abcd1",0.000741703877023048,0.678075672377955,1,0.9,1
"Aen",0.000756736804635135,0.804860640355598,1,0.9,1
"Kat7",0.000785502636360875,0.581789028624696,0.9,0.9,1
"Sult1d1",0.000792495886476612,1.41658919810721,1,0.9,1
"Pa2g4",0.000794291409717899,0.580356597566338,1,0.9,1
"Trim44",0.000795347889157948,0.466414357966161,1,0.9,1
"Carns1",0.000818904634170212,0.778156714571111,0.8,0.3,1
"Adcy3",0.000819328186062716,0.972052204212506,0.9,0.6,1
"Stoml3",0.000819908133450972,0.72676937889886,1,1,1
"Ifitm3",0.000820887660261927,0.739857697134288,1,1,1
"Atp1a2",0.000821956421963818,0.739653968184323,0.8,0.7,1
"Rundc3a",0.00083544610892768,0.586377748567419,0.8,0.2,1
"Tbc1d5",0.000843870738104371,0.714852459785427,1,0.9,1
"Stat2",0.000857256445463814,0.633816958223434,1,0.9,1
"Ifi47",0.000873998388660511,0.496894913476027,0.9,0.9,1
"Iigp1",0.000875685554615736,1.21973793114178,0.9,0.9,1
"Nek9",0.000877074544959136,0.638824143101206,0.9,0.9,1
"Ddx21",0.000911839186326005,0.802276339182807,1,0.9,1
"Pgap2",0.000930333020764061,0.498168343200681,1,0.9,1
"Iglc1",0.000930626151094446,1.57234434439625,0.7,0.4,1
"mt-Atp6",0.000935508693220287,0.285118886572528,1,1,1
"Tsix",0.000965709931697314,0.81870673500954,1,0.9,1
"Mgst3",0.000972699946673663,0.876472497703145,1,0.9,1
"Igtp",0.000974020783260436,0.623120494519592,0.9,0.9,1
